Metric,Baseline,PSO Mean,PSO Std,PSO Best,Improvement (%)
MSE,0.0011408451028644706,0.002201042949737188,0.0,0.002201042949737188,-92.93091973754709
MAE,0.024247235836320897,0.03487086541034943,0.0,0.03487086541034943,-43.813775911376155
RMSE,0.0337763986070817,0.04691527416244296,0.0,0.04691527416244296,-38.89957513885603
R²,0.9772089359219301,0.9560289904562062,0.0,0.9560289904562062,-2.1673917099153575
